,Loan_ID,Gender,Married,Self_Employed,Applicant_Income,education,Principal,terms,effective_date,due_date,age,loan_status
334,1287,female,No,No,3158,college,89000,30,9/11/2016,10/10/2016,38,COLLECTION
335,1288,male,No,Yes,2600,High School or Below,99000,30,9/11/2016,10/10/2016,34,COLLECTION
336,1289,male,Yes,No,3704,college,120000,30,9/11/2016,10/10/2016,31,COLLECTION
337,1290,male,No,No,4124,High School or Below,115000,30,9/11/2016,10/10/2016,23,COLLECTION
338,1291,female,No,No,9508,college,187000,15,9/11/2016,9/25/2016,27,COLLECTION
339,1292,male,Yes,No,3075,High School or Below,139000,15,9/11/2016,9/25/2016,39,COLLECTION
340,1293,female,Yes,No,4400,High School or Below,127000,30,9/11/2016,10/10/2016,30,COLLECTION
341,1294,male,Yes,No,3153,college,134000,30,9/11/2016,10/10/2016,25,COLLECTION
342,1295,male,No,No,5417,Master or Above,143000,15,9/11/2016,9/25/2016,50,COLLECTION
343,1296,male,Yes,No,2383,High School or Below,172000,30,9/11/2016,10/10/2016,23,COLLECTION
344,1297,male,Yes,,4416,Bechalor,88000,15,9/11/2016,9/25/2016,38,COLLECTION
345,1298,male,Yes,No,6875,High School or Below,200000,30,9/11/2016,10/10/2016,27,COLLECTION
346,1299,male,Yes,No,4666,High School or Below,135000,30,9/11/2016,11/9/2016,31,COLLECTION
347,1300,male,No,No,5000,college,120800,15,9/11/2016,9/25/2016,40,COLLECTION
350,1301,male,Yes,No,2014,High School or Below,113000,30,9/11/2016,10/10/2016,26,COLLECTION
351,1302,male,Yes,No,1800,college,93000,15,9/11/2016,9/25/2016,25,COLLECTION
352,1303,male,Yes,No,2875,High School or Below,105000,30,9/11/2016,10/10/2016,35,COLLECTION
353,1304,male,No,No,5000,High School or Below,132000,30,9/11/2016,10/10/2016,41,COLLECTION
354,1305,male,Yes,No,1625,High School or Below,96000,30,9/11/2016,10/10/2016,37,COLLECTION
355,1306,male,No,No,4000,college,140000,15,9/11/2016,10/10/2016,34,COLLECTION
356,1307,male,No,No,2000,High School or Below,130000,30,9/11/2016,10/10/2016,45,COLLECTION
357,1308,male,No,No,3762,Bechalor,135000,30,9/11/2016,10/10/2016,26,COLLECTION
358,1309,male,No,No,2400,college,104000,30,9/11/2016,10/10/2016,32,COLLECTION
359,1310,male,No,No,20233,High School or Below,480000,30,9/11/2016,10/10/2016,28,COLLECTION
360,1311,male,Yes,No,7667,college,185000,30,9/11/2016,10/10/2016,34,COLLECTION
361,1312,male,No,No,2917,High School or Below,67200,15,9/11/2016,9/25/2016,29,COLLECTION
362,1313,male,No,No,2927,High School or Below,111000,30,9/11/2016,10/10/2016,26,COLLECTION
363,1314,male,No,No,2507,college,56000,15,9/11/2016,9/25/2016,26,COLLECTION
364,1315,male,Yes,Yes,5746,college,115200,15,9/11/2016,9/25/2016,22,COLLECTION
365,1316,female,Yes,No,2473,High School or Below,159000,30,9/11/2016,10/10/2016,27,COLLECTION
366,1317,male,Yes,No,3399,High School or Below,88800,30,9/11/2016,10/10/2016,33,COLLECTION
367,1318,male,Yes,No,3717,Bechalor,96000,15,9/11/2016,9/25/2016,28,COLLECTION
368,1319,male,Yes,No,2058,college,88000,30,9/11/2016,10/10/2016,24,COLLECTION
371,1320,male,No,No,3541,college,112000,30,9/11/2016,10/10/2016,18,COLLECTION
372,1321,male,Yes,Yes,10000,High School or Below,124000,15,9/11/2016,9/25/2016,25,COLLECTION
373,1322,male,Yes,No,2400,High School or Below,115000,15,9/11/2016,9/25/2016,40,COLLECTION
374,1323,male,Yes,No,4342,college,124000,30,9/11/2016,10/10/2016,29,COLLECTION
375,1324,female,Yes,No,3601,High School or Below,9600,15,9/11/2016,9/25/2016,26,COLLECTION
376,1325,male,No,No,3166,college,132000,15,9/11/2016,9/25/2016,30,COLLECTION
377,1326,male,Yes,No,15000,college,300000,30,9/11/2016,10/10/2016,33,COLLECTION
378,1327,male,Yes,Yes,8666,college,376000,30,9/11/2016,10/10/2016,30,COLLECTION
379,1328,male,No,No,4917,college,130000,30,9/11/2016,10/10/2016,32,COLLECTION
380,1329,male,Yes,Yes,5818,High School or Below,184000,30,9/11/2016,10/10/2016,25,COLLECTION
381,1330,male,Yes,No,4333,High School or Below,88000,15,9/11/2016,9/25/2016,35,COLLECTION
382,1331,male,No,No,2500,Bechalor,67000,15,9/11/2016,9/25/2016,30,COLLECTION
383,1332,male,No,No,4384,High School or Below,117000,30,9/11/2016,10/10/2016,26,COLLECTION
384,1333,male,No,No,2935,High School or Below,98000,30,9/11/2016,10/10/2016,29,COLLECTION
385,1334,male,No,No,2833,High School or Below,71000,30,9/11/2016,11/9/2016,26,COLLECTION
386,1335,male,Yes,,63337,High School or Below,392000,15,9/11/2016,9/25/2016,46,COLLECTION
387,1336,male,Yes,Yes,9833,High School or Below,182000,30,9/11/2016,10/10/2016,36,COLLECTION
388,1337,male,Yes,Yes,5503,Bechalor,70000,15,9/11/2016,9/25/2016,38,COLLECTION
389,1338,male,Yes,,5250,High School or Below,160000,15,9/11/2016,10/25/2016,32,COLLECTION
390,1339,male,Yes,Yes,2500,college,176000,15,9/11/2016,9/25/2016,30,COLLECTION
391,1340,male,No,No,1830,High School or Below,71200,15,9/11/2016,9/25/2016,35,COLLECTION
392,1341,female,No,No,4160,college,71000,30,9/11/2016,10/10/2016,29,COLLECTION
393,1342,male,Yes,No,2647,college,173000,30,9/11/2016,11/9/2016,26,COLLECTION
394,1343,male,No,No,2378,High School or Below,36800,15,9/11/2016,9/25/2016,32,COLLECTION
395,1344,male,Yes,No,4554,High School or Below,158000,30,9/11/2016,10/10/2016,25,COLLECTION
397,1345,male,Yes,No,3173,college,59200,15,9/12/2016,9/26/2016,39,COLLECTION
398,1346,male,Yes,,2583,college,125000,30,9/12/2016,11/10/2016,28,COLLECTION
399,1347,male,Yes,No,2499,college,160000,30,9/12/2016,10/11/2016,26,COLLECTION
