,Principal,terms,effective_date,due_date,age,education,Gender,loan_status
379,800,15,9/13/2016,9/27/2016,51,college,male,PAIDOFF
380,800,15,9/14/2016,9/28/2016,28,High School or Below,male,PAIDOFF
381,1000,15,9/14/2016,9/28/2016,30,college,female,PAIDOFF
382,1000,30,9/14/2016,10/13/2016,41,High School or Below,male,PAIDOFF
383,1000,30,9/14/2016,10/13/2016,29,college,male,PAIDOFF
384,1000,30,9/14/2016,10/13/2016,37,High School or Below,male,PAIDOFF
385,1000,30,9/14/2016,10/13/2016,36,Bachelor ,male,PAIDOFF
386,800,15,9/14/2016,9/28/2016,27,college,male,PAIDOFF
387,1000,30,9/14/2016,10/13/2016,29,High School or Below,male,PAIDOFF
388,1000,30,9/14/2016,10/13/2016,40,High School or Below,male,PAIDOFF
389,1000,30,9/14/2016,10/13/2016,28,college,male,PAIDOFF
390,1000,15,9/9/2016,9/23/2016,29,college,male,COLLECTION
391,1000,30,9/9/2016,10/8/2016,37,High School or Below,male,COLLECTION
392,800,15,9/9/2016,9/23/2016,27,college,male,COLLECTION
393,800,15,9/9/2016,9/23/2016,24,Bachelor ,male,COLLECTION
394,800,15,9/10/2016,10/9/2016,28,college,male,COLLECTION
395,1000,30,9/10/2016,10/9/2016,40,High School or Below,male,COLLECTION
396,1000,30,9/10/2016,10/9/2016,33,college,male,COLLECTION
397,1000,30,9/10/2016,10/9/2016,27,High School or Below,male,COLLECTION
398,1000,30,9/10/2016,10/9/2016,24,college,male,COLLECTION
399,1000,30,9/10/2016,10/9/2016,30,High School or Below,male,COLLECTION
400,1000,30,9/14/2016,10/13/2016,28,college,male,PAIDOFF
