,Loan_ID,Gender,Married,Self_Employed,Applicant_Income,education,LoanAmount,Principal,Principal,terms,effective_date,due_date,age,loan_status
288,LP001825,male,Yes,No,1809,Bechalor,90,1000,90000,30,9/14/2016,10/13/2016,34,PAIDOFF
289,LP001835,male,Yes,No,1668,High School or Below,201,800,160800,15,9/14/2016,9/28/2016,28,PAIDOFF
290,LP001836,female,No,No,3427,college,138,1000,138000,15,9/14/2016,9/28/2016,30,PAIDOFF
291,LP001841,male,No,Yes,2583,High School or Below,104,1000,104000,30,9/14/2016,10/13/2016,41,PAIDOFF
292,LP001843,male,Yes,No,2661,college,279,1000,279000,30,9/14/2016,10/13/2016,29,PAIDOFF
293,LP001844,male,No,Yes,16250,High School or Below,192,1000,192000,30,9/14/2016,10/13/2016,37,PAIDOFF
294,LP001846,male,No,No,3083,Bechalor,255,1000,255000,30,9/14/2016,10/13/2016,36,PAIDOFF
296,LP001849,male,No,No,6045,college,115,800,92000,15,9/14/2016,9/28/2016,27,PAIDOFF
297,LP001854,male,Yes,No,5250,High School or Below,94,1000,94000,30,9/14/2016,10/13/2016,29,PAIDOFF
298,LP001859,male,Yes,No,14683,High School or Below,304,1000,304000,30,9/14/2016,10/13/2016,40,PAIDOFF
299,LP001864,male,Yes,No,4931,college,128,1000,128000,30,9/14/2016,10/13/2016,28,PAIDOFF
300,LP001865,male,Yes,No,6083,college,330,1000,330000,15,9/9/2016,9/23/2016,29,COLLECTION
301,LP001868,male,No,No,2060,High School or Below,134,1000,134000,30,9/9/2016,10/8/2016,37,COLLECTION
303,LP001870,male,No,No,3481,college,155,800,124000,15,9/9/2016,9/23/2016,27,COLLECTION
304,LP001871,male,No,No,7200,Bechalor,120,800,96000,15,9/9/2016,9/23/2016,24,COLLECTION
306,LP001872,male,No,Yes,5166,college,128,800,102400,15,9/10/2016,10/9/2016,28,COLLECTION
307,LP001875,male,No,No,4095,High School or Below,151,1000,151000,30,9/10/2016,10/9/2016,40,COLLECTION
308,LP001877,male,Yes,No,4708,college,150,1000,150000,30,9/10/2016,10/9/2016,33,COLLECTION
312,LP001882,male,Yes,No,4333,High School or Below,160,1000,160000,30,9/10/2016,10/9/2016,27,COLLECTION
314,LP001883,male,No,,3418,college,135,1000,135000,30,9/10/2016,10/9/2016,24,COLLECTION
316,LP001884,male,No,No,2876,High School or Below,90,1000,90000,30,9/10/2016,10/9/2016,30,COLLECTION
317,LP001888,male,No,No,3237,High School or Below,30,1000,30000,15,9/10/2016,9/24/2016,29,COLLECTION
318,LP001891,male,Yes,No,11146,Bechalor,136,1000,136000,30,9/10/2016,10/9/2016,22,COLLECTION
319,LP001892,male,No,No,2833,Bechalor,126,1000,126000,15,9/10/2016,9/24/2016,24,COLLECTION
320,LP001894,male,Yes,No,2620,college,150,1000,150000,30,9/10/2016,10/9/2016,25,COLLECTION
321,LP001896,male,Yes,No,3900,High School or Below,90,1000,90000,30,9/10/2016,10/9/2016,28,COLLECTION
322,LP001900,male,Yes,No,2750,college,115,1000,115000,30,9/10/2016,10/9/2016,37,COLLECTION
323,LP001903,male,Yes,No,3993,college,207,800,165600,15,9/10/2016,9/24/2016,32,COLLECTION
324,LP001904,male,Yes,No,3103,college,80,1000,80000,15,9/10/2016,9/24/2016,34,COLLECTION
325,LP001907,male,Yes,No,14583,Bechalor,436,1000,436000,30,9/11/2016,10/10/2016,28,COLLECTION
326,LP001908,male,Yes,No,4100,Bechalor,124,800,99200,15,9/11/2016,9/25/2016,35,COLLECTION
327,LP001910,male,No,Yes,4053,college,158,1000,158000,30,9/11/2016,11/9/2016,27,COLLECTION
329,LP001914,male,Yes,No,3927,Bechalor,112,1000,112000,30,9/11/2016,10/10/2016,44,COLLECTION
330,LP001915,male,Yes,No,2301,college,78,1000,78000,15,9/11/2016,10/25/2016,31,COLLECTION
332,LP001917,male,No,No,1811,High School or Below,54,1000,54000,30,9/11/2016,10/10/2016,21,COLLECTION
333,LP001922,female,Yes,No,20667,High School or Below,45,1000,45000,30,9/11/2016,10/10/2016,30,COLLECTION
334,LP001924,female,No,No,3158,college,89,1000,89000,30,9/11/2016,10/10/2016,38,COLLECTION
335,LP001925,male,No,Yes,2600,High School or Below,99,1000,99000,30,9/11/2016,10/10/2016,34,COLLECTION
336,LP001926,male,Yes,No,3704,college,120,1000,120000,30,9/11/2016,10/10/2016,31,COLLECTION
337,LP001931,male,No,No,4124,High School or Below,115,1000,115000,30,9/11/2016,10/10/2016,23,COLLECTION
338,LP001935,female,No,No,9508,college,187,1000,187000,15,9/11/2016,9/25/2016,27,COLLECTION
339,LP001936,male,Yes,No,3075,High School or Below,139,1000,139000,15,9/11/2016,9/25/2016,39,COLLECTION
340,LP001938,female,Yes,No,4400,High School or Below,127,1000,127000,30,9/11/2016,10/10/2016,30,COLLECTION
341,LP001940,male,Yes,No,3153,college,134,1000,134000,30,9/11/2016,10/10/2016,25,COLLECTION
342,LP001945,male,No,No,5417,Master or Above,143,1000,143000,15,9/11/2016,9/25/2016,50,COLLECTION
343,LP001947,male,Yes,No,2383,High School or Below,172,1000,172000,30,9/11/2016,10/10/2016,23,COLLECTION
344,LP001949,male,Yes,,4416,Bechalor,110,800,88000,15,9/11/2016,9/25/2016,38,COLLECTION
345,LP001953,male,Yes,No,6875,High School or Below,200,1000,200000,30,9/11/2016,10/10/2016,27,COLLECTION
346,LP001954,male,Yes,No,4666,High School or Below,135,1000,135000,30,9/11/2016,11/9/2016,31,COLLECTION
347,LP001955,male,No,No,5000,college,151,800,120800,15,9/11/2016,9/25/2016,40,COLLECTION
350,LP001963,male,Yes,No,2014,High School or Below,113,1000,113000,30,9/11/2016,10/10/2016,26,COLLECTION
351,LP001964,male,Yes,No,1800,college,93,1000,93000,15,9/11/2016,9/25/2016,25,COLLECTION
352,LP001972,male,Yes,No,2875,High School or Below,105,1000,105000,30,9/11/2016,10/10/2016,35,COLLECTION
353,LP001974,male,No,No,5000,High School or Below,132,1000,132000,30,9/11/2016,10/10/2016,41,COLLECTION
354,LP001977,male,Yes,No,1625,High School or Below,96,1000,96000,30,9/11/2016,10/10/2016,37,COLLECTION
355,LP001978,male,No,No,4000,college,140,1000,140000,15,9/11/2016,10/10/2016,34,COLLECTION
356,LP001990,male,No,No,2000,High School or Below,130,1000,130000,30,9/11/2016,10/10/2016,45,COLLECTION
357,LP001993,male,No,No,3762,Bechalor,135,1000,135000,30,9/11/2016,10/10/2016,26,COLLECTION
358,LP001994,male,No,No,2400,college,104,1000,104000,30,9/11/2016,10/10/2016,32,COLLECTION
359,LP001996,male,No,No,20233,High School or Below,480,1000,480000,30,9/11/2016,10/10/2016,28,COLLECTION
360,LP001998,male,Yes,No,7667,college,185,1000,185000,30,9/11/2016,10/10/2016,34,COLLECTION
361,LP002002,male,No,No,2917,High School or Below,84,800,67200,15,9/11/2016,9/25/2016,29,COLLECTION
362,LP002004,male,No,No,2927,High School or Below,111,1000,111000,30,9/11/2016,10/10/2016,26,COLLECTION
363,LP002006,male,No,No,2507,college,56,1000,56000,15,9/11/2016,9/25/2016,26,COLLECTION
364,LP002008,male,Yes,Yes,5746,college,144,800,115200,15,9/11/2016,9/25/2016,22,COLLECTION
365,LP002024,female,Yes,No,2473,High School or Below,159,1000,159000,30,9/11/2016,10/10/2016,27,COLLECTION
366,LP002031,male,Yes,No,3399,High School or Below,111,800,88800,30,9/11/2016,10/10/2016,33,COLLECTION
367,LP002035,male,Yes,No,3717,Bechalor,120,800,96000,15,9/11/2016,9/25/2016,28,COLLECTION
368,LP002036,male,Yes,No,2058,college,88,1000,88000,30,9/11/2016,10/10/2016,24,COLLECTION
371,LP002043,male,No,No,3541,college,112,1000,112000,30,9/11/2016,10/10/2016,18,COLLECTION
372,LP002050,male,Yes,Yes,10000,High School or Below,155,800,124000,15,9/11/2016,9/25/2016,25,COLLECTION
373,LP002051,male,Yes,No,2400,High School or Below,115,1000,115000,15,9/11/2016,9/25/2016,40,COLLECTION
374,LP002053,male,Yes,No,4342,college,124,1000,124000,30,9/11/2016,10/10/2016,29,COLLECTION
375,LP002054,female,Yes,No,3601,High School or Below,12,800,9600,15,9/11/2016,9/25/2016,26,COLLECTION
376,LP002055,male,No,No,3166,college,132,1000,132000,15,9/11/2016,9/25/2016,30,COLLECTION
377,LP002065,male,Yes,No,15000,college,300,1000,300000,30,9/11/2016,10/10/2016,33,COLLECTION
378,LP002067,male,Yes,Yes,8666,college,376,1000,376000,30,9/11/2016,10/10/2016,30,COLLECTION
379,LP002068,male,No,No,4917,college,130,1000,130000,30,9/11/2016,10/10/2016,32,COLLECTION
380,LP002082,male,Yes,Yes,5818,High School or Below,184,1000,184000,30,9/11/2016,10/10/2016,25,COLLECTION
381,LP002086,male,Yes,No,4333,High School or Below,110,800,88000,15,9/11/2016,9/25/2016,35,COLLECTION
382,LP002087,male,No,No,2500,Bechalor,67,1000,67000,15,9/11/2016,9/25/2016,30,COLLECTION
383,LP002097,male,No,No,4384,High School or Below,117,1000,117000,30,9/11/2016,10/10/2016,26,COLLECTION
384,LP002098,male,No,No,2935,High School or Below,98,1000,98000,30,9/11/2016,10/10/2016,29,COLLECTION
385,LP002100,male,No,No,2833,High School or Below,71,1000,71000,30,9/11/2016,11/9/2016,26,COLLECTION
386,LP002101,male,Yes,,63337,High School or Below,490,800,392000,15,9/11/2016,9/25/2016,46,COLLECTION
387,LP002103,male,Yes,Yes,9833,High School or Below,182,1000,182000,30,9/11/2016,10/10/2016,36,COLLECTION
388,LP002106,male,Yes,Yes,5503,Bechalor,70,1000,70000,15,9/11/2016,9/25/2016,38,COLLECTION
389,LP002110,male,Yes,,5250,High School or Below,160,1000,160000,15,9/11/2016,10/25/2016,32,COLLECTION
390,LP002112,male,Yes,Yes,2500,college,176,1000,176000,15,9/11/2016,9/25/2016,30,COLLECTION
391,LP002113,male,No,No,1830,High School or Below,89,800,71200,15,9/11/2016,9/25/2016,35,COLLECTION
392,LP002114,female,No,No,4160,college,71,1000,71000,30,9/11/2016,10/10/2016,29,COLLECTION
393,LP002115,male,Yes,No,2647,college,173,1000,173000,30,9/11/2016,11/9/2016,26,COLLECTION
394,LP002116,male,No,No,2378,High School or Below,46,800,36800,15,9/11/2016,9/25/2016,32,COLLECTION
395,LP002119,male,Yes,No,4554,High School or Below,158,1000,158000,30,9/11/2016,10/10/2016,25,COLLECTION
397,LP002126,male,Yes,No,3173,college,74,800,59200,15,9/12/2016,9/26/2016,39,COLLECTION
398,LP002128,male,Yes,,2583,college,125,1000,125000,30,9/12/2016,11/10/2016,28,COLLECTION
399,LP002129,male,Yes,No,2499,college,160,1000,160000,30,9/12/2016,10/11/2016,26,COLLECTION
